Marca temporal,Evaluador ,Nombre ,Número la Mandíbula ,ID (Código de la Mandíbula),Impresión total [Izquierda],Mentón [Izquierda],Ángulo mandibular [Izquierda],Ángulo mandibular [Derecha ],Eversión gonial [Izquierda],Eversión gonial [Derecha ],Margen inferior [Izquierda],Cuerpo mandibular [Izquierda],Rama mandibular [Izquierda],Rama mandibular [Derecha ],Incisura mandibular / Escotadura sigmoidea [Izquierda],Incisura mandibular / Escotadura sigmoidea [Derecha ],Proceso condilar [Izquierda],Proceso condilar [Derecha ],Proceso coronoide [Izquierda],Proceso coronoide [Derecha ],Arco dental [Izquierda],Dientes (Número),Comentarios,Diente  [Izquierda]
7/11/2019 13:34:10,Obs 01,Miguel Ángel Gallegos Guzmán,59,Cona 00059,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,4,,
7/11/2019 13:37:46,Obs 01,Miguel Ángel Gallegos Guzmán,37,Cona 00037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,No identificado,No identificado,-2,-2,-1,1,,
7/11/2019 13:44:05,Obs 01,Miguel Ángel Gallegos Guzmán,81,Cona 00081,+1,+1,-1,+1,0,0,+1,+1,+1,+1,+2,+2,+2,+2,+1,+1,+1,6,,
7/11/2019 13:46:51,Obs 04,ANTONIO CRUZ MARTÍNEZ,33,Cona00033,+1,+1,+1,+2,-1,+1,+2,+1,+1,+1,+1,+1,+1,+1,+2,+1,+1,1,,
7/11/2019 13:51:28,Obs 04,ANTONIO CRUZ MARTÍNEZ,38,Cona00038,+2,+1,+1,+1,+1,+2,+2,+2,+1,0,+1,+1,No identificado,No identificado,0,0,-1,0,,
7/11/2019 13:55:39,Obs 04,ANTONIO CRUZ MARTÍNEZ,31,Cona00031,-1,0,-1,-1,+1,-1,-1,-1,+2,+1,+1,+1,-1,-1,-1,-1,0,1,,
7/11/2019 15:33:01,Obs 07,Valeria Vidal,17,ConaN28,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,16,,
7/11/2019 15:40:06,Obs 06,Romero Franco Jonathan,5,conanN11,-2,-2,+1,0,0,-1,+1,-1,-1,0,+1,0,+1,+1,+1,+1,+1,0,,
7/11/2019 15:44:11,Obs 07,Valeria Vidal Gallegos,2,ConaN8,0,0,0,No identificado,0,0,0,-1,+1,+1,+1,+1,0,0,+1,+1,+1,1,Presencia de ligera frectura en el área del ángulo mandibular derecho.,
7/11/2019 16:04:07,Obs 06,Jonathan Romero Franco,1,conaN7,-1,0,-1,-1,-1,-1,+1,-1,-1,-1,-1,-1,+1,+1,-1,-1,-1,1,el único diente tiene movilidad ,
7/11/2019 16:04:17,Obs 05,Andrea Damián Pacheco ,23,ConaN23,-1,+2,+2,+2,+2,+2,+2,+2,+2,+2,+1,+1,+1,+2,+1,+2,+2,14,"Algunos dientes están fracturados, y pocos con movilidad.",
8/11/2019 10:12:45,Obs 02,Mariana Josselyn García García,81,Cona00081,+1,0,0,+1,+1,+1,+1,+1,+1,+1,0,+1,+1,+1,+1,+1,+1,6,,
8/11/2019 10:18:18,Obs 02,Mariana Josselyn García García,45,Cona00045,-2,-1,No identificado,No identificado,No identificado,No identificado,No identificado,-1,No identificado,No identificado,No identificado,No identificado,No identificado,No identificado,No identificado,-1,-1,1,"Rama mandibular derecha no presente, aparentemente seccionada, Rama mandibular izquierda no presente, aparentemente fracturada.",
8/11/2019 10:21:34,Obs 02,Mariana Josselyn García García,48,Cona00048,0,+1,+1,+1,+1,0,0,No identificado,0,0,+1,+1,+1,+1,0,0,No identificado,0,,
8/11/2019 10:27:25,Obs 02,Mariana Josselyn García García,5,Cona00005,+1,0,+1,+1,+1,+1,+1,+1,+1,+1,+1,0,0,0,0,0,+1,1,,
8/11/2019 10:31:29,Obs 02,Mariana Josselyn García García,1,Cona00001,+2,+2,+2,+2,+1,+1,+2,+2,+2,+2,+2,+2,+2,+2,+1,+1,+2,9,,
8/11/2019 10:33:33,Obs 02,Mariana,4,Cona00004,0,+1,+1,+1,0,+1,+1,+1,+1,+1,+1,+1,+1,+1,0,0,No identificado,0,,
8/11/2019 10:37:30,Obs 02,Mariana,25,Cona00025,0,0,No identificado,No identificado,No identificado,No identificado,+1,0,+1,+1,+1,+1,No identificado,No identificado,+1,0,No identificado,0,"Ambos cóndilos, así como ángulos de la mandíbula se encuentran fracturados.",
8/11/2019 10:42:26,Obs 02,Mariana,54,Cona00054,+1,+2,+1,+1,+1,+1,+1,+2,+2,+2,+1,+1,+1,+1,0,0,+1,3,,
8/11/2019 10:51:07,Obs 02,Mariana,66,Cona00066,+1,+1,+2,+2,+1,+1,+1,0,+1,+1,+1,+1,+2,+2,+1,+1,0,2,,
8/11/2019 10:56:58,Obs 02,Mariana,6,Cona00006,+1,+1,+1,+1,+1,+1,+1,+1,+1,+1,+1,+1,No identificado,No identificado,+1,+1,+1,7,,
8/11/2019 11:12:02,Obs 02,Mariana,14,Cona00014,+1,0,+1,+1,+1,+1,+1,0,+1,+1,0,0,+1,+1,0,0,No identificado,0,,
8/11/2019 11:13:40,Obs 02,Mariana,11,Cona00011,0,0,+1,+1,+2,+2,+1,+1,+1,+1,+1,+1,No identificado,No identificado,+1,+1,+1,0,No presenta ambos cóndilos.,
8/11/2019 11:19:30,Obs 03,Abigail Gómez Moreno ,37,Cona00037,-1,-1,-1,-2,No identificado,No identificado,+1,+1,-1,-1,+2,+2,No identificado,No identificado,No identificado,No identificado,-1,1,,
8/11/2019 11:20:13,Obs 02,Mariana,53,Cona00053,+1,+1,+1,No identificado,+1,+1,+1,+1,+2,+2,0,0,0,No identificado,0,0,0,1,Cóndilo y ángulo derechos fracturados. ,
8/11/2019 11:22:41,Obs 02,Mariana,30,Cona00030,0,+1,+1,+1,+1,+1,+1,+1,+1,+1,0,+1,+1,+1,+1,+1,+1,4,Tiene un diente artificial incrustado con resina.,
8/11/2019 11:24:32,Obs 03,Abigail Gómez Moreno ,81,Cona00081,+1,+2,+2,+1,+1,+1,+1,+1,+1,+1,+2,+1,+2,+2,+1,+2,+1,6,,
8/11/2019 11:26:24,Obs 02,Mariana,72,Cona00072,0,0,+1,+1,+1,+1,+1,+1,+1,+1,0,0,No identificado,+1,0,0,0,2,,
8/11/2019 11:27:48,Obs 03,Abigail Gómez Moreno ,45,Cona00045,-2,-2,No identificado,No identificado,No identificado,No identificado,No identificado,0,No identificado,No identificado,No identificado,No identificado,No identificado,No identificado,No identificado,0,-1,1,,
8/11/2019 11:32:47,Obs 02,Mariana,13,Cona00013,0,+1,+1,+1,+1,0,+1,No identificado,+1,+1,0,+2,+1,0,0,+1,No identificado,0,,
8/11/2019 11:33:03,Obs 03,Abigail Gómez Moreno ,48,Cona00048 ,-1,-1,-1,0,-1,+1,-2,-2,-1,-1,+1,+1,+1,+1,-2,-2,-2,0,,
8/11/2019 11:37:11,Obs 03,Abigail Gómez Moreno ,5,Cona00005,0,-1,+1,-1,+2,+2,+1,+1,+1,0,-2,-2,+1,+1,+1,+1,-2,1,,
8/11/2019 11:39:22,Obs 02,Mariana,27,Cona00027,+1,0,+1,+1,+1,+1,+1,+2,+1,+1,0,+1,+1,No identificado,+1,+1,+1,2,Cóndilo derecho fracturado.,
8/11/2019 11:40:44,Obs 03,Abigail Gómez Moreno ,01,Cona00001,+2,+2,+1,+1,+1,+2,+2,+2,+2,+2,0,0,+2,+2,+2,+2,+1,9,,
8/11/2019 11:41:40,Obs 02,Mariana,60,Cona00060,0,0,+1,+1,0,+1,+1,+1,+1,+1,0,+1,No identificado,No identificado,0,0,0,0,Ambos cóndilos están fracturados,
8/11/2019 11:43:34,Obs 02,Mariana,75,Cona00075,0,0,0,0,0,0,0,0,-1,-1,0,No identificado,0,No identificado,+1,+1,No identificado,0,,
8/11/2019 11:44:33,Obs 03,Anbigail Gómez Moreno ,04,Cona00004,-2,0,-1,-1,+1,+1,-1,+1,-1,-1,-1,-2,+1,+1,-1,-1,-2,0,,
8/11/2019 12:09:51,Obs 03,Abigail Gomez Moreno ,25,Cona00025,-1,+1,No identificado,No identificado,No identificado,No identificado,-1,-1,No identificado,No identificado,-1,0,-1,No identificado,0,-1,-2,0,,
8/11/2019 12:14:31,Obs 03,Abigail Gómez Moreno ,54,Cona00054,+2,+2,+2,+2,+2,+2,+2,+2,+2,+2,+2,0,+1,+1,+2,+2,+1,3,,
8/11/2019 12:16:49,Obs 03,Abigail Gómez Moreno ,66,Cona00066,-1,-1,+1,No identificado,+1,No identificado,+1,-1,-1,-1,+1,+1,+1,+1,+1,+1,0,2,,
8/11/2019 12:19:31,Obs 03,Abigail Gómez Moreno ,06,Cona00006,0,+1,+1,+2,+2,+1,+2,+1,+1,+2,-2,+1,0,No identificado,+1,+1,0,7,,
8/11/2019 12:21:59,Obs 03,Abigail Gómez Moreno ,14,Cona00014,0,-1,-1,-1,+1,+1,0,-1,-1,+1,-2,-1,+1,+1,-1,-1,+1,0,,
8/11/2019 12:24:04,Obs 03,Abigail Gómez Moreno ,11,Cona00011,-1,-1,+1,+1,+2,+2,+2,+1,0,+1,+2,+1,No identificado,No identificado,+1,+1,-1,1,,
8/11/2019 12:28:13,Obs 03,Abigail Gómez Moreno ,58,Cona00058,+1,-1,+2,No identificado,+2,No identificado,+1,+2,+2,No identificado,-1,-1,+1,0,-1,-1,+1,1,,
8/11/2019 12:30:40,Obs 03,Abigail Gómez Moreno ,30,Cona00030,+2,+2,-1,-1,+2,+2,+2,+2,+2,+2,-1,-1,+1,+1,+1,+1,+2,4,,
8/11/2019 12:32:45,Obs 03,Abigail Gómez Moreno ,72,Cona00072,0,+1,0,0,+1,0,+1,+1,0,+1,-1,-1,No identificado,+1,-1,-1,+2,2,,
8/11/2019 12:41:01,Obs 03,Abigail Gómez Moreno ,13,Cona00013,-1,-2,+1,-1,0,+1,-1,-1,+1,0,-2,+1,+1,-1,0,-2,+2,0,,
8/11/2019 12:43:33,Obs 03,Abigail Gómez Moreno ,27,Cona00027 ,+1,0,+2,+2,+2,+2,+2,+1,+2,+1,-1,+1,+2,No identificado,0,0,-2,2,,
8/11/2019 12:46:00,Obs 03,Abigail Gómez Moreno ,60,Cona00060,+1,0,0,+1,0,+1,+1,0,+2,+1,-1,+1,No identificado,No identificado,-1,+1,+2,0,,
8/11/2019 13:06:30,Obs 03,Abigail Gomez Moreno ,75,Cona00075,-1,-1,+1,+1,+1,0,0,-1,+1,0,-1,+1,+1,No identificado,-1,-1,-1,1,,
8/11/2019 14:52:49,Obs 06,Jonathan Romero Franco,16,conaN27,0,-1,-1,-1,+1,+1,+1,0,+1,+1,+1,+1,+1,+1,-1,-1,-1,8,,
8/11/2019 14:58:38,Obs 06,Jonathan Romero Franco,13,conaN23,-1,+1,+1,+1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,14,,
8/11/2019 14:59:11,Obs 07,Valeria Vidal Gallegos,18,UNAMN.30,0,0,+2,+2,+2,+2,-1,-1,0,0,+1,+1,+1,+1,+1,+1,-1,15,El diente 41 presenta unicamente la raíz y el 42 presenta fractura de corona por mesial.,
8/11/2019 15:08:31,Obs 07,Valeria Vidal Gallegos,8,ConaN15,+1,+2,+2,+2,+1,+1,+2,+2,+1,+1,+1,+1,0,0,+2,+2,-1,13,Movilidad en diente 47 y 35,
8/11/2019 15:10:37,Obs 05,Andrea Damián Pacheco,14,ConaN24,-1,0,+1,+1,-2,-2,-2,-2,-2,-2,+1,+1,-2,-1,-2,-2,-1,3,,
8/11/2019 15:15:27,Obs 06,Jonathan Romero Franco,12,conaN19,-1,-1,0,0,-1,-1,-1,-1,-1,-1,+1,+1,-1,-1,-1,-1,-1,2,,
8/11/2019 15:18:14,Obs 07,Valeria Vidal Gallegos,3,ConaN9,-1,-2,0,0,+1,+1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,3,,
8/11/2019 15:22:28,Obs 06,Jonathan Romero Franco,6,ConaN13,+1,+1,-1,-1,0,0,+1,+1,0,0,+1,+1,+1,+1,-1,-1,+1,0,,
8/11/2019 15:24:01,Obs 07,Valeria Vidal Gallegos,7,ConaN14,+1,+2,0,0,-1,-1,0,+1,+1,+1,0,0,+1,+1,+1,+1,-1,5,"Dientes 33 y 43 presentan fractura de corona, y 33 presenta dehiscencia",
8/11/2019 15:24:10,Obs 05,Andrea Damián Pacheco,22,UNAM Ind.121,+1,+1,+1,-1,+1,-1,-1,+1,-1,-1,-2,-2,+2,+2,-1,-1,-2,15,7 dientes tienen movilidad y algunos están fracturados ,
8/11/2019 15:29:09,Obs 07,Valeria Vidal Gallegos,11,ConaN18,-2,-2,-1,-1,0,0,-2,-2,-1,-1,0,+1,-1,-1,-1,-1,0,0,,
8/11/2019 15:29:45,Obs 06,Jonathan Romero Franco,10,ConaN17,-2,-1,+1,+1,-1,-1,-1,-1,-1,-1,0,0,-2,-2,-1,-1,-1,0,,
8/11/2019 15:34:56,Obs 07,Valeria Vidal Gallegos,20,UNAM Col.7914,+1,+2,+2,+2,+2,+2,+1,+2,+2,+2,+1,+1,+1,+1,+1,+1,0,0,,
8/11/2019 15:39:02,Obs 05,Andrea Damián Pacheco ,9,ConaN16,+1,+2,-2,-2,-1,-2,+1,+1,-2,-2,-2,-2,+2,+1,-1,-1,+2,10,"Del diente contado como número diez solo se encuentran sus raíces, pérdida de dos dientes post-mortem y se percibe resorción ósea de manera general. ",
8/11/2019 15:41:30,Obs 06,Jonathan Romero Franco,19,UNAMN63,+1,+1,-1,-1,-1,-1,+1,-1,-1,-1,+1,0,-1,-1,-1,-1,0,12,la mandíbula esta seccionada,
8/11/2019 15:48:07,Obs 06,Jonathan Romero Franco,21,UNAM COL.110,+2,+1,0,0,0,0,+1,+1,+1,+1,+1,+1,-1,-1,0,0,+1,10,,
8/11/2019 15:57:35,Obs 05,Andrea Damián Pacheco,24,ConaN22,+2,+2,+2,+2,+2,+2,+1,+2,-1,-1,-1,-1,No identificado,No identificado,-2,-2,-2,13,"No se puede valorar el proceso condilar, ya que está articulada la mandíbula con el cráneo.",
8/11/2019 16:07:31,Obs 05,Andrea Damián Pacheco,15,ConaN25,0,+1,+1,+1,+1,+1,+2,0,+1,+1,No identificado,No identificado,No identificado,No identificado,No identificado,No identificado,-2,2,"Los dos dientes considerados están incluidos en hueso. Proceso condilar, proceso coronoide y escotadura sigmoidea no se puede evaluar ya que de ambos lados están fracturados los procesos. ",
8/11/2019 16:12:25,Obs 05,Andrea Damián Pacheco,4,ConaN10,+2,0,+2,+2,+2,+2,-1,-1,-2,-2,-1,-2,+2,+2,-1,-1,0,2,Son raíces y una de ellas con movilidad.,
8/11/2019 16:17:41,Obs 05,Andrea Damián Pacheco,16,ConaN27,+2,+1,+1,+1,+1,+1,+2,-2,-1,-1,+1,+1,+2,+1,-1,-1,+2,8,Se aprecia resorción ósea generalizada.,
11/11/2019 10:22:21,Obs 04,ANTONIO CRUZ MARTINEZ,58,Cona00058,+2,+1,+1,+2,+1,+1,+2,+2,+1,+2,+1,+1,+2,+2,+1,+1,+1,0,,
11/11/2019 10:22:54,Obs 02,Mariana,9,Cona00009,+1,+1,+1,+1,+2,+1,+1,+1,+1,0,+1,+1,+1,+1,0,0,+1,2,Tiene 2 restos radiculares.,
11/11/2019 10:25:05,Obs 02,Mariana,15,Cona00015,+1,0,+1,+1,0,0,+1,+1,+1,+1,+1,+1,+1,+1,+1,+1,+1,2,,
11/11/2019 10:26:34,Obs 04,ANTONIO CRUZ MARTÍNEZ,59,Cona00059,-2,-1,-1,-1,0,0,+1,+1,-2,-2,-1,-1,-1,-1,-1,-1,+1,4,presenta dentición mixta ,
11/11/2019 10:30:19,Obs 02,Mariana,29,Cona00029,0,-1,0,-1,+1,-1,0,0,-1,-1,0,-1,+1,+1,-1,-1,No identificado,0,,
11/11/2019 10:32:53,Obs 02,Mariana,50,Cona00050,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,No identificado,-1,-2,-1,0,,
11/11/2019 10:33:54,Obs 04,ANTONIO CRUZ MARTÍNEZ,37,Cona0037,+1,+1,+1,+1,-1,-1,+1,+1,+1,+1,+2,+2,No identificado,No identificado,0,0,+1,1,presenta fractura de ángulo mandibular y procesos condilar ,
11/11/2019 10:34:39,Obs 02,Mariana,51,Cona00051,-1,+1,+1,+1,+1,+1,+2,+1,+1,+1,+1,0,No identificado,0,+1,No identificado,+1,0,,
11/11/2019 10:34:40,Obs 01,Miguel Ángel Gallegos Guzmán,48,Coma 00048 ,-2,+2,-1,-1,0,0,-2,-2,-2,-2,-1,-1,+1,+1,+1,+1,+1,0,Mandibula edentula con proceso alveolar regenerado,
11/11/2019 10:37:35,Obs 02,Mariana,79,Cona00079,+1,+1,+1,+2,+2,+2,+1,0,+1,+1,+1,0,0,0,+1,+1,No identificado,0,,
11/11/2019 10:39:53,Obs 02,Mariana,69,Cona00069,-1,-1,+1,+1,+1,+1,0,-1,0,-1,-1,0,-1,-1,0,0,No identificado,0,,
11/11/2019 10:41:18,Obs 02,Mariana,10,Cona00010,0,-1,0,0,0,0,0,+1,+1,+1,+1,+1,+1,+1,+2,+2,+1,2,,
11/11/2019 10:41:44,Obs 01,Miguel Ángel Gallegos Guzmán,5,Cona0005,+1,-1,+1,+1,+1,-1,+1,+1,+1,+1,+2,-1,+1,+1,-1,+1,+1,1,solo presenta resto radicular ,
11/11/2019 10:42:47,Obs 04,ANTONIO CRUZ MARTINEZ,81,Cona00081,+2,+1,+2,+1,+1,+1,+2,+1,+2,+1,-2,-1,+1,+1,+1,+1,+1,6,,
11/11/2019 10:43:03,Obs 02,Mariana,55,Cona00055,+1,+1,+1,+1,+2,+1,+1,+1,+1,+1,+1,+1,No identificado,No identificado,0,0,+1,0,Ambos cóndilos presentan desgaste.,
11/11/2019 10:44:25,Obs 02,Mariana,80,Cona00080,+1,+1,+2,+2,+2,+1,+1,+1,+1,+1,+1,+1,+1,+1,+2,+2,+1,0,,
11/11/2019 10:44:29,Obs 01,Miguel Ángel Gallegos Guzmán,1,Cona0001,+2,+1,+1,+1,0,+1,+2,+2,+1,+1,+1,+1,+1,+2,+1,+1,+1,9,,
11/11/2019 10:45:55,Obs 02,Mariana,2,Cona00002,-1,-1,0,0,0,0,+1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,,
11/11/2019 10:46:22,Obs 04,ANTONIO CRUZ MARTINEZ,45,Cona45,+1,+1,No identificado,No identificado,No identificado,No identificado,No identificado,No identificado,No identificado,No identificado,No identificado,No identificado,No identificado,No identificado,No identificado,+1,+1,1,presenta corte de la rama mandibular derecha  e izquierda ,
11/11/2019 10:47:08,Obs 01,Miguel Ángel Gallegos Guzmán,4,Cona 0004,-1,-1,-1,-1,0,0,-2,-1,-1,-1,+1,+1,-1,-1,+1,-1,-1,0,,
11/11/2019 10:47:30,Obs 02,Mariana,23,Cona00023,+1,+1,+2,+2,+1,+1,+1,+2,+1,+1,+1,0,+1,+1,+1,+1,0,1,Cóndilo izquierdo presenta desgaste a nivel coronal.,
11/11/2019 10:49:03,Obs 02,Mariana,56,Cona00056,+1,+2,+1,+1,+1,+1,+1,+1,+1,+1,0,-1,-1,-1,-1,-1,0,0,,
11/11/2019 10:49:08,Obs 04,ANTONIO CRUZ MARTINEZ,48,Cona00048,+2,+2,+1,+1,+1,+1,+1,+1,+1,+1,+1,+2,+2,+2,+1,+1,+2,0,,
11/11/2019 10:50:38,Obs 02,Mariana,19,Cona00019,0,+1,+1,+2,+1,+1,+1,+1,+1,+1,0,0,No identificado,0,0,+1,+1,4,Cóndilo izquierdo con desgaste.,
11/11/2019 10:51:53,Obs 02,Mariana,74,Cona00074,+1,+1,+1,+1,+1,+1,+1,+1,+1,0,+1,+2,0,No identificado,0,0,0,2,,
11/11/2019 10:53:09,Obs 04,ANTONIO CRUZ MARTINEZ,5,Cona0005,-1,+1,+1,+1,0,+1,+1,+1,+2,+1,-2,-1,-1,-1,-1,-1,-1,1,presenta resto radicular del órgano dentario 37,
11/11/2019 10:53:24,Obs 02,Mariana,40,Cona00040,+1,0,+1,+1,+2,+1,+1,+2,0,+1,+1,+1,+1,No identificado,0,0,+1,0,Cóndilo izquierdo fracturado. ,
11/11/2019 10:55:19,Obs 02,Mariana,26,Cona00026,0,-1,+1,-1,0,-1,+1,0,-1,-1,-1,0,0,-1,-1,-1,-1,9,,
11/11/2019 10:56:28,Obs 04,ANTONIO CRUZ MARTINEZ,1,Cona0001,+2,+2,+2,+2,+1,+2,+2,+2,+1,+1,+2,+2,+2,+2,+2,+2,+2,9,presenta desgaste de los oranos dentarios,
11/11/2019 10:57:06,Obs 02,Mariana,46,Cona00046,0,-1,0,0,0,-1,-1,0,+1,0,0,0,+1,No identificado,0,-1,+1,1,Cóndilo derecho desgastado coronalmente.,
11/11/2019 10:57:29,Obs 01,Miguel Ángel Gallegos Guzmán,25,Coma 00025,-1,+1,-1,-1,0,0,-1,-1,+1,+1,+1,+1,-1,No identificado,-2,-2,+1,0,"Consulto derecho fracturado, ángulos gonion presentan desgaste",
11/11/2019 10:58:28,Obs 02,Mariana,65,Cona00065,+1,+1,+2,+2,+2,+1,0,0,+1,+1,-1,-1,-1,-1,0,0,0,1,,
11/11/2019 11:01:00,Obs 02,Mariana,61,Cona00061,+1,+1,+1,No identificado,0,No identificado,+1,+1,+1,No identificado,No identificado,No identificado,-1,No identificado,No identificado,+1,+1,0,"Rama mandibular derecha fracturada, proceso coronoide derecho desgastado.",
11/11/2019 11:01:28,Obs 01,Miguel Ángel Gallegos Guzmán,54,Coma 00054,+2,+2,+2,+2,+2,+2,+2,+2,+2,+2,+2,+2,+2,+2,+2,+2,+2,3,2 órganos dentarios completos y un tercero solo presenta raíz ,
11/11/2019 11:03:44,Obs 02,Mariana,18,Cona00018,+1,+1,+1,+1,+1,+1,0,+2,+1,0,-1,0,0,No identificado,0,+1,+1,3,,
11/11/2019 11:03:52,Obs 04,ANTONIO CRUZ MARTINEZ,4,Cona0004,-1,-1,+1,-1,0,+1,-1,-1,+1,+1,-1,-1,-1,-1,-1,-1,-2,0,presenta porosidad en la parte superior del proceso residual donde se presentan los órganos dentarios anteriores,
11/11/2019 11:05:21,Obs 02,Mariana,73,Cona00073,+1,0,+1,+1,+1,0,0,+1,+1,0,+2,+1,No identificado,0,0,+1,0,0,Cóndilo izquierdo fracturado.,
11/11/2019 11:06:41,Obs 02,Mariana,47,Cona00047,+1,+1,+1,+1,+1,+1,+1,+2,+1,+1,-1,+1,No identificado,No identificado,+1,0,+1,12,,
11/11/2019 11:07:14,Obs 01,Miguel Ángel Gallegos Guzmán,66,Cona 00066,-1,+1,-1,-1,0,0,-1,-1,+2,+2,-1,-1,-1,-1,+1,-1,-1,2,,
11/11/2019 11:07:58,Obs 02,Mariana,64,Cona00064,0,+1,+1,+1,+1,+1,0,+1,+1,+1,-1,0,+2,+2,+1,+2,0,0,,
11/11/2019 11:09:18,Obs 02,Mariana,77,Cona00077,0,-1,No identificado,No identificado,0,0,+1,-1,-1,-1,-1,+1,No identificado,No identificado,+1,No identificado,-1,0,,
11/11/2019 11:10:24,Obs 04,ANTONIO CRUZ MARTINEZ,25,Cona00025,-1,+1,No identificado,No identificado,-1,-1,-1,-1,+2,+2,-2,-1,-2,-2,-2,-2,-1,0,presenta fractura de proceso condilar drecho,
11/11/2019 11:11:56,Obs 01,Miguel Ángel Gallegos Guzmán,6,Cona 0006,+1,+1,+1,+1,-1,-1,+1,+1,+1,+1,-1,-1,-1,No identificado,-1,-1,+1,7,"Ninguno de los O.D. presenta corona,el cóndilo derecho no se encuentra",
11/11/2019 11:14:31,Obs 03,Abigail Gómez Moreno ,09,Cona00009,-1,0,-1,-1,+1,+1,0,0,-1,-1,-1,-1,0,0,+1,+1,+2,4,,
